subject,topic,difficulty,marks,year,input_text,target_text,source_file,pyp_id
Software Project Management,Stakeholders,Medium,6,2026,Generate a Medium 6-mark Software Project Management question about Stakeholders.,Identify and describe TWO (2) stakeholders of the CPS project.,Software Engineering Test 1,77fe2d39-f87a-4e13-a6ec-efdfe21c40b2
Software Project Management,Software Process Model,Medium,6,2026,Generate a Medium 6-mark Software Project Management question about Software Process Model.,"Identify and explain TWO (2) types of prototyping process models commonly used to address
uncertain user requirements and adapt to user changes.",Software Engineering Test 1,77fe2d39-f87a-4e13-a6ec-efdfe21c40b2
Software Project Management,Software Process Model,Medium,,2026,Generate a Medium  Software Project Management question about Software Process Model.,"A network diagram can be used to illustrate the interdependencies between tasks in a project.
Table 1 shows an example of project tasks, its duration and predecessor.
Table 1: Project tasks, duration and its predecessor
Task ID
A
B
C
D
E
F
G
Task Name
Project planning
Feasibility study
Refine requirements
Design GUI and database
Design a prototype model
Code for core modules
Integration test
Duration (in weeks)
1
1
1
2
2
1
Predecessor
None
A
B
C
C
D, E
F",Software Engineering Test 1,77fe2d39-f87a-4e13-a6ec-efdfe21c40b2
Software Project Management,Network Diagram,Hard,8,2026,Generate a Hard 8-mark Software Project Management question about Network Diagram.,"Create a network diagram based on the task ID, duration and predecessors provided in
Table 1.",Software Engineering Test 1,77fe2d39-f87a-4e13-a6ec-efdfe21c40b2
Software Project Management,Network Diagram,Medium,5,2026,Generate a Medium 5-mark Software Project Management question about Network Diagram.,"Based on the answer given in Question 1 c) (i), identify the critical path based on the task
ID and specify the total duration needed to complete the project.



3
BAIT3153 SOFTWARE PROJECT MANAGEMENT",Software Engineering Test 1,77fe2d39-f87a-4e13-a6ec-efdfe21c40b2
Software Project Management,Cost Estimation,Hard,8,2026,Generate a Hard 8-mark Software Project Management question about Cost Estimation.,"Analyse TWO (2) product standards that should be enforced in CPS's project development.
Explain your answer.",Software Engineering Test 1,77fe2d39-f87a-4e13-a6ec-efdfe21c40b2
Software Project Management,Fault Management,Medium,,2026,Generate a Medium  Software Project Management question about Fault Management.,"Given the following information of project team A and Bin Table 2.
Table 2: Size-oriented measurement of project team A and team B.
Non-normalised
Team A
Team B
Programming language used
Total Lines of Code (LOC)
Defects found
Errors found
Java
Php
Normalised with KLOC
Team A
Team B
Java
Php
206,000
266,000
22
40
25
35
Note: KLOC is thousand lines of code. Formula used: defects/KLOC and errors/KLOC.",Software Engineering Test 1,77fe2d39-f87a-4e13-a6ec-efdfe21c40b2
Software Project Management,KLOC,Hard,9,2026,Generate a Hard 9-mark Software Project Management question about KLOC.,"Calculate the values in Table 2 under normalised with KLOC for both teams. Which project
team produces higher quality of work? Explain your answer.
Show your workings in your calculation, round up to five decimal points.",Software Engineering Test 1,77fe2d39-f87a-4e13-a6ec-efdfe21c40b2
Software Project Management,KLOC,Hard,8,2026,Generate a Hard 8-mark Software Project Management question about KLOC.,"Evaluate TWO (2) drawbacks of size-oriented metric used in CPS's project development.
Explain your answer.




BAIT3153 SOFTWARE PROJECT MANAGEMENT",Software Engineering Test 1,77fe2d39-f87a-4e13-a6ec-efdfe21c40b2
Software Project Management,Network Diagram,Medium,,2026,Generate a Medium  Software Project Management question about Network Diagram.,"The risk projection shows the following information:
Adam has identified 50% of the existing software components can be reused and integrated into
the current fares payment system. The remaining core modules have to be developed based on
new requirements. The project team has to check the existing platform and operating system's
version used to integrate with the new modules.
Risk identified is four junior developers have been assigned to develop the 35 new software
components with duration of 4 weeks. The average software component is 120 Lines of Code",Software Engineering Test 1,77fe2d39-f87a-4e13-a6ec-efdfe21c40b2
